sku,ean,fuente,nombre,marca
FC-12613420,,ewafra,Aguja 30 x 13 Cafe Caja 100 305107 Bd,BD
FC-40361390,,ewafra,Aguja 31 x 4 mm Azul Caja 100 Misawa,Misawa
FC-50832037,,ewafra,Aguja 32 x 4 mm Rosa Caja 100 Misawa,Misawa
FC-46200974,,ewafra,Aguja 33 x 4 Verde Caja 100 Misawa,Misawa
FC-24034335,,ewafra,Aguja Quincke 25 x 3 1/2 405180,
FC-62925038,,ewafra,Aguja Quincke 27 x 3 1/2 405081,
FC-96829687,,ewafra,Aguja Vacutainer 21 x 31 Caja 48,
FC-71065264,,ewafra,Aguja Vacutainer 21 x 38 Caja 100 360213,
FC-66727540,,ewafra,Aguja Whitacre 25 x 3/1/2 405138,
FC-91378183,,ewafra,Aguja Whitacre 25 x 4 11/16 409442,
FC-36856663,,ewafra,Aguja Whitacre 27 x 3 1/2 405079 Pieza,
FC-17348358,,ewafra,Aguja Whitacre 27 x 4 11/16 409443,
FC-74840725,,ewafra,Alcohol Desnaturalizado de 1 Litro (azul,
FC-53714844,,ewafra,Algodon 300 Grms Protec Pqte,
FC-89515572,,ewafra,Alin Depot Amp 4mg/2ml Caja 1,
FC-06688589,,ewafra,Alkazyme 20 Grs Caja 12 Sobresres Pieza,
FC-79029071,,ewafra,Almohada Desechable de 40 x 50 Pieza,
FC-29630642,,ewafra,Almohada Desechable de 50 x 75 Pieza,
FC-99366347,,ewafra,Amikacina Amp de 500 Mg Caja 1,
FC-65880206,,ewafra,Aminofilina Amp de 250 Ml/ 10 ml Caja 5,
FC-00070635,,ewafra,Aminofilina Amp de 250 Ml/ 10 ml Caja 50,
FC-19684039,,ewafra,Amiodarona Amp de 150 Mg Caja 6,
FC-34244113,,ewafra,Amoxicilina 250 Mg/5 ml 75 ml Susp,
FC-23642741,,ewafra,Ampicilina Amp de 1g Pieza,
FC-48296306,,ewafra,Ampicilina Tab de 500 Mg Caja 20,
FC-41202961,,ewafra,Angiopohl 1mg /ml Pieza,
FC-78692065,,ewafra,Aplicador C/alg. Esteril. Caja 3 Caja 100 Protec 0805020,
FC-72830323,,ewafra,Aquacel Aguja+ Extra 10 x 10cm 413567,
FC-83934434,,ewafra,Aquaplast Placa de 15 x 15 cm,
FC-66156199,,ewafra,Aromatizante Ambiental 400 ml,
FC-19117946,,ewafra,Aspirina 500 Mg Caja 20,
FC-16033322,,ewafra,Aspirina 500 Mg Caja 40,
FC-76217205,,ewafra,Atropina Amp de 1 ml Caja 50,
FC-70832004,,ewafra,Avapena Amp 20 Mg / 2 ml,
FC-83827369,,ewafra,Babero Peeling Azul Caja 20 Pzas,
FC-06374714,,ewafra,Bactroban 20mg/1g Ung 15 G,
FC-64525802,,ewafra,Bata Cirujano Esteril con Puño (pieza),
FC-80092535,,ewafra,Bata Cirujano Std No Esteril Caja 10,
FC-87492032,,ewafra,Bata Cirujano Xl No Esteril Caja 10,
FC-48149693,,ewafra,Bata Extraple con Resorte Caja 10,
FC-22913663,,ewafra,Bata Pac. Ad. Std Azul S/m 25 G Caja 10,
FC-36469762,,ewafra,Bata Pac. Ad. Std Azul S/m 35 G Caja 10,
FC-02340327,,ewafra,Bata Pac. Ad. Std Bca S/m 20 G Caja 10,
FC-59325516,,ewafra,Bata Pac. Ad. Std Negro S/m 35 G Caja 10,
FC-73844388,,ewafra,Bata Pac. Ad. Xl Azul S/m 25 G Caja 10,
FC-68785089,,ewafra,Bata Qx T Chica Azul Plumbago 100 Alg,
FC-52007470,,ewafra,Bata Qx T Grande Azul Plumbago 100 Alg,
FC-34092992,,ewafra,Bata Qx T Mediana Azul Plumbago 100 Alg,
FC-35082756,,ewafra,Baumanometro/estetoscopio Home Care,
FC-44330559,,ewafra,Benzal Rojo Solucion de 4 Litros,
FC-89982127,,ewafra,Betametasona (celesbitan) Jga de 8 Mg Caja 1,
FC-30141278,,ewafra,Betametasona (erispan) Jga de 8 Mg Caja 1,
FC-71878073,,ewafra,Bicarnat 7.5 % de 50 ml Pieza,
FC-70525488,,ewafra,Bio Vac Drenaje de 10 mm,
FC-48541475,,ewafra,Bio Vac Drenaje de 7 mm,
FC-49378580,,ewafra,Blanqueador de 1 Litro,
FC-71607778,,ewafra,Blorecep 100 ml de Sangre 1005,
FC-89541519,,ewafra,Blorecep 250 ml de Sangre 1003,
FC-94127657,,ewafra,Blorecep 50 ml de Sangre,
FC-67257488,,ewafra,Blorecep 500 ml de Sangre 1001,
FC-07647723,,ewafra,Bolentax (enoxaparina) 40mg/0.4ml Pieza,
FC-35231126,,ewafra,Bolsa Colostomia C/barrera Caja 10 4021,
FC-29719211,,ewafra,Bolsa de Orina de 2000 ml 154002,
FC-32315500,,ewafra,Bolsa de Orina de 2000 ml Kenguard 3512,
FC-25317015,,ewafra,Bolsa P/esteril Mix 13.5 x 25 (51/4x10) Sunset Caja 200,
FC-56355732,,ewafra,Bolsa P/esteril Mix 19 x 33 (71/2x13) Sunset Caja 200,
FC-73133351,,ewafra,Bolsa P/esteril Mix 7 x 23 (23/4x9)sunset Caja 200,
FC-08539396,,ewafra,Bolsa P/esteril Mix 9 x 23 (31/2x10) Sunset Caja 200,
FC-45939037,,ewafra,Bolsa P/esteril Papel 12 x 26 Caja 100 Dl,Dl
FC-29161418,,ewafra,Bolsa P/esteril Papel 14 x 33 Caja 100 Dl,Dl
FC-45273323,,ewafra,Bolsa P/esteril Papel 18 x 33 Caja 100 Dl,Dl
FC-47831114,,ewafra,Bolsa P/esteril Papel 18 x 33 Caja 50,
FC-28495704,,ewafra,Bolsa P/esteril Papel 7.5 x 23 Caja 100 Dl,Dl
FC-22033008,,ewafra,Bolsa para Anestesia de 1 Litro,
FC-92734429,,ewafra,Bolsa para Anestesia de 2 Litro,
FC-55694468,,ewafra,Bolsa para Canister 1000ml Pieza Cve65651-,
FC-18278533,,ewafra,Bolsa Recolectora de Orina P/pierna 650m,
FC-56207867,,ewafra,Bowl Acero Inox 800 ml,
FC-22652629,,ewafra,Bowl Acero Inoxidable 1.6 Litros,
FC-06193148,,ewafra,Bromuro de Vecuronio Cja C/ 50 Amp,
FC-66303294,,ewafra,Budesonida 0.250mg/2 ml Caja 5,
FC-23913882,,ewafra,Butilhioscina Amp de 20mg Caja 3,
