sku,ean,fuente,nombre,origen,imagen,nota
FC-04988756,7500462667733,birdman,Parrot Greens & Protein Berry Vainilla 900 gr - 30 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/900G_BERRYVANILLA_0648449b-d7ff-4e31-96d2-3ddcda5fced1.png?v=1721258397,
FC-93003613,7500462667757,birdman,Parrot Greens & Protein Matcha 210 gr - 7 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/210G_MATCHA_91f2bdfd-727f-4430-a78b-1544b658d51e.png?v=1721258397,
FC-84598525,7500462667740,birdman,Parrot Greens & Protein Matcha 900 gr - 30 Servicios,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/900G_MATCHA_46b4ffc6-3675-4339-8ce9-1c036421c1b3.png?v=1721258396,
FC-92571047,7503038209290,birdman,Berberina HCL - 180 Cápsulas - 90 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/01_BERB_180CAPS_90p.jpg?v=1737566426,
FC-08622819,7503038209412,birdman,Berberina HCL - 90 Cápsulas - 45 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/01_BERB_90CAPS_45p.jpg?v=1737566438,
FC-21720347,7503038209047,birdman,Full Spectrum Omega 3 - 120 Cápsulas - 60 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/01_OMEGAF_120CAPS_60p.jpg?v=1737566262,
FC-43700210,7503038209030,birdman,Full Spectrum Omega 3 - 60 Cápsulas - 30 Porciones,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/01_OMEGAF_60CAPS_30p.jpg?v=1737566274,
FC-59831837,7503025737379,birdman,MCT Oil Líquido - 270ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MCT_OIL_BIG_9a5ccbec-e779-4c62-b398-0021a5b16320.png?v=1721258397,
FC-27575442,7503025737362,birdman,MCT Oil Líquido - 420ml,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MCT_OIL_BIG_9a5ccbec-e779-4c62-b398-0021a5b16320.png?v=1721258397,
FC-84758742,7503025737423,birdman,MCT Oil Powder 432 gr - Natural,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MCT_OIL_POWDER_NATURAL.png?v=1721258398,
FC-96952979,7503025737416,birdman,MCT Oil Powder 432 gr - Vainilla,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/MCT_OIL_POWDER_NATURAL.png?v=1721258398,
FC-66779489,7503038209221,birdman,Mag Trifecta 3 en 1: Citrato,birdman,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/01_MAGNESIO_180CAPS_60p.jpg?v=1737566335,
