ean,sku,marca,nombre,nombre_lista
8429420132474,FC-20132474,ISDIN,Verrutop Ampolletas 4x,ISDIN VERRUTOP AMPOLLETAS 4X0.10ML
3337875695152,FC-75695152,Isispharma,Capital Soleil Agua Proteccion Solar SPF50,CAPITAL SOLEIL AGUA PROTECCION SOLAR SPF50 200ML
3337875695145,FC-75695145,Isispharma,Capital Soleil Agua Solar Hidratante SPF50,CAPITAL SOLEIL AGUA SOLAR HIDRATANTE SPF50 200ML
3337875957137,FC-75957137,Isispharma,Derco Shampoo Anti Caspa,DERCO SHAMPOO ANTI CASPA 95ML
3337875787222,FC-75787222,Isispharma,Dercos Shampoo Psolution Tratamiento Keratorreductor Piel Cabelluda Sensible,DERCOS SHAMPOO PSOLUTION TRATAMIENTO KERATORREDUCTOR PIEL CABELLUDA SENSIBLE 200ML
3337875647182,FC-75647182,Isispharma,Neovadiol Phytosculpt,NEOVADIOL PHYTOSCULPT CREMA 50ML
3337875862097,FC-75862097,Isispharma,Purete Thermal Gel Limpiador,PURETE THERMAL GEL LIMPIADOR 200ML
3337875674409,FC-75674409,Isispharma,Purete Thermale Bifasico,PURETE THERMALE BIFASICO 100ML
3337875647212,FC-75647212,Isispharma,Vichy Homme Structure Force,VICHY HOMME STRUCTURE FORCE 50ML
7703281020363,FC-81020363,Italmex,Acleria Hidratante Facial,ACLERIA HIDRATANTE FACIAL 50G
7703281002024,FC-81002024,Italmex,Aquatop,AQUATOP CREMA 250GR
8430308133841,FC-08133841,Italmex,Betalfatrus Solucion Ungueal,BETALFATRUS SOLUCION UNGUEAL 3.3 ML
7703281020028,FC-81020028,Italmex,Circadien Serum Emulsión Preventivo,CIRCADIEN SERUM EMULSIÓN PREVENTIVO 40 ML
7703281020035,FC-81020035,Italmex,Circadien Serum Emulsión Reparador,CIRCADIEN SERUM  EMULSIÓN REPARADOR 40 ML
7501390912742,FC-90912742,Italmex,Clidets,CLIDETS SOLUCION 50ML
7703281020264,FC-81020264,Italmex,Derpil Champu,DERPIL CHAMPU 120ML
7703281020042,FC-81020042,Italmex,Génétique Serum Solución con,GÉNÉTIQUE SERUM SOLUCIÓN CON 40ML
7703281020059,FC-81020059,Italmex,L'intelligence Serum Emulsión,L'INTELLIGENCE SERUM  EMULSIÓN  40ML
8413400004448,FC-00004448,Italmex,Lullage Bella Noche,LULLAGE BELLA NOCHE CREMA 50ML
850019136012,FC-19136012,Italmex,Lullage Splendor 5 Ampolletas 2 ml Cada Una,LULLAGE SPLENDOR 5 AMPOLLETAS 2ML CADA UNA
7703281001546,FC-81001546,Italmex,Lumed Base Comp. T. Claro X,LUMED BASE COMP. T. CLARO X 11G
7703281001553,FC-81001553,Italmex,Lumed Base Comp. T. Oscuro X,LUMED BASE COMP. T. OSCURO X 11G
7703281001515,FC-81001515,Italmex,Lumed Base Fluida T. Claro X,LUMED BASE FLUIDA T. CLARO X 40G
7703281001522,FC-81001522,Italmex,Lumed Base Fluida T. Oscuro X,LUMED BASE FLUIDA T. OSCURO X 40G
7703281001539,FC-81001539,Italmex,Lumed Emulgel X,LUMED EMULGEL X 40G
