prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
185,HUECO,B,2,1843,AMIODARONA 200 MG 20 TABLETAS,200mg,20,tableta,Medicamentos éticos,Medicamentos,174.0,2,4
186,HUECO,B,2,2391,EXTRACTO DE HOJA DE GUAYABA / ACEITE DE LINAZA GELATINA BLANDA 60 CAPSULAS,,60,capsula,Colitis,Funcionamiento gastrointestinal,174.0,2,4
187,HUECO,B,2,3514,FOTOPROTECTOR SOLAR CON COLOR 50+ ETERNAL SECRET 30ML 1 PIEZA,30ml,1,,Protector solar,Cuidado de la piel y belleza,174.0,2,4
188,HUECO,B,2,3838,ISOTIPENDILO 0.75/100GR JALEA ANDANTOL 25 GR 1 PIEZA,100000mg 25000mg,1,jalea,Repelentes,Cuidado de la piel y belleza,174.0,2,4
189,HUECO,B,2,3181,METOCLOPRAMIDA 100MG/100ML SOLUCION 1 PIEZA,100mg 100ml,1,solucion,Funcionamiento gastrointestinal,Medicamentos,171.0,2,4
190,HUECO,B,2,4496,GEL PIES/PIERNAS CANSADAS 60 GR GREEN MAR,60000mg,,gel,Dermatológico,Cuidado de la piel y belleza,170.0,2,4
191,HUECO,B,2,1562,CLOROPIRAMINA 20MG/2ML SOLUCION INYECTABLE 5 AMPOLLETAS,20mg 2ml,5,solucion,Antialérgico,Medicamentos,169.0,2,4
192,HUECO,B,2,3451,FLURBIPROFENO 8.75MG 24 PASTILLAS GRANEODIN F,8.75mg,24,pastilla,Gripa y tos,Aparato respiratorio,169.0,2,4
193,HUECO,B,2,2802,GLUCOSAMINA / CONDROITINA / MSM / AJO / ZINC / MAGNESIO / VITAMINAS YMINERALES 20 SOBRES,,20,sobre,Huesos y articulaciones,Analgesia,169.0,2,4
194,HUECO,B,2,2974,MEMANTINA 10 MG 28 TABLETAS,10mg,28,tableta,Medicamentos éticos,Medicamentos,169.0,2,4
195,HUECO,B,2,2220,METRONIDAZOL / MICONAZOL 7 OVULOS,,7,ovulo,Antimicótico,Medicamentos,169.0,2,4
196,HUECO,B,2,2201,PANCREATINA / SIMETICONA / EXTRACTO DE BILIS DE BUEY / CELULOSA 50 TABLETAS,,50,tableta,Colitis,Funcionamiento gastrointestinal,169.0,2,4
197,HUECO,B,2,3483,SULFATO DE PLATA 0.029GR/100ML SOLUCION 120 ML 1 PIEZA,100ml 120ml 29mg,1,solucion,Material de curación,"Higiene, curación y diagnóstico",169.0,2,4
198,HUECO,B,2,2697,ZOLMITRIPTANO 2.5 MG 2 TABLETAS,2.5mg,2,tableta,Medicamentos éticos,Medicamentos,169.0,2,4
199,HUECO,B,2,3524,PARCHES ANTIACNE 44 PIEZAS SIMISKN,,44,parche,Dermatológico,Cuidado de la piel y belleza,168.0,2,4
200,HUECO,B,2,1817,HIERRO POLIMALTOSADO / ACIDO FOLICO 100MG/800MCG 30 TABLETAS,100mg 800mcg,30,tableta,Antianémico,Medicamentos,164.0,2,4
201,HUECO,B,2,4033,ATOMOXETINA 40MG 14CAPSULAS ULTRA,40mg,14,,Enfermedades mentales,Medicamentos,159.0,2,4
202,HUECO,B,2,4303,BUFENINA/DIFENILPIRALINA/AMINOFENAZONA 25ML SOLUCION GOTAS,25ml,,solucion,Antialérgico,Medicamentos,159.0,2,4
203,HUECO,B,2,3562,COMBO NARHEMO UNGÜENTO 30 GR + NARHEMO TABLETAS 30 TABLETAS,30000mg,30,unguento,Antiinflamatorios,Analgesia,159.0,2,4
204,HUECO,B,2,4302,DICLOFENACO 15MG PARCHE 5 PIEZAS VOLTAREN,15mg,5,parche,Antiinflamatorios,Analgesia,159.0,2,4
205,HUECO,B,2,1651,FORMULA LACTEA 0-6 MESES NUTRIFORMULA 400 GR 1 PIEZA,400000mg,1,,Fórmulas infantiles,Bebés,159.0,2,4
