prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
44,OK,C,0,585,ELECTROLITOS ORALES MANZANA 500ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
45,OK,C,0,3622,ELECTROLITOS ORALES MORA AZUL 500ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
46,OK,C,0,3490,ELECTROLITOS ORALES UVA 500 ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
47,OK,C,0,2618,ELECTROLITOS PEDIATRICOS ORALES SABOR UVA 500ML 1 PIEZA,500ml,1,,Líquido,Rehidratantes,25.5,2,4,FC-33961373,Suero Pedialyte Sr fresa,Pedialyte,2,70,solo 1/2 principios activos; concentracion coincide; equivalente PA+concentración+forma
48,OK,C,0,2003,ESCITALOPRAM 10 MG 14TABLETAS,10mg,14,,Enfermedades mentales,Medicamentos,74.0,2,4,FC-04D83B46,Pralex,Pralex,2,70,principios activos completos; concentracion coincide; cantidad difiere 28≠14
49,OK,C,0,2674,ESCITALOPRAM 10 MG 28 TABLETAS,10mg,28,tableta,Enfermedades mentales,Medicamentos,112.0,2,4,FC-04D83B46,Pralex,Pralex,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
50,OK,C,0,2615,ESOMEPRAZOL 40 MG 14 TABLETAS ASTRA,40mg,14,tableta,Funcionamiento gastrointestinal,Medicamentos,389.0,1,2,EQ-MAV380,Esomeprazol 14 Tab 40 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (91/64)
51,OK,C,0,2275,ETORICOXIB 120 MG 7 COMPRIMIDOS MERCK,120mg,7,tableta,Antiinflamatorio,Medicamentos,439.0,1,2,EQ-MAV311,Exicort 7 Comp 120 Mg,Maver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
52,OK,C,0,2979,ETORICOXIB 90 MG MSD 28 COMPRIMIDOS,90mg,28,tableta,Antiinflamatorio,Medicamentos,469.0,1,2,EQ-AMS460,Etoricoxib 14 Comp 90 Mg,AMSA,1,76,principios activos completos; concentracion coincide; cantidad difiere 14≠28; forma coincide; nombre parecido (80/58)
53,OK,C,0,2146,EZETIMIBA / SIMVASTATINA 10/20MG MSD 14 COMPRIMIDOS,20mg,14,tableta,Hipolipemiante,Medicamentos,599.0,1,2,EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,AMSA,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
54,OK,C,0,3467,EZETIMIBA 10 MG 20 Y/O 21 TABLETAS,10mg,21,tableta,Hipolipemiante,Medicamentos,559.0,1,2,EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,AMSA,1,70,solo 1/2 principios activos; concentracion coincide; cantidad difiere 14≠21; forma coincide; equivalente PA+concentración+forma
55,OK,C,0,760,FENITOINA SODICA 100MG 50 TABLETAS,100mg,50,tableta,Anticonvulsivo,Medicamentos,46.0,2,4,EQ-LOE058,Feniffler-T 50 Tab 100 Mg,Loeffler,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
