prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
156,HUECO,C,1,3708,ROSUVASTAT/EZETIMIBA 20MG/10MG 10TAB,10mg 20mg,10,tableta,CARDIOVASCULARES,MEDICAMENTOS,319.0,1,2
157,HUECO,C,2,3972,SIMI FX UCII COLAGENO PVO 15 SOBRES,,15,polvo,ANALGESICOS,SUPLEMENTOS,319.0,2,3
158,HUECO,C,2,3482,SUPEROXIDODISMUTASA 30CAP ETERNAL SEC,250ui,30,capsula,CUIDADO DE LA PIEL,SUPLEMENTOS,319.0,2,3
159,HUECO,C,2,2152,PROT LOW-CARB CHOCOLATE 450GR XGEAR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,314.0,2,3
160,HUECO,C,2,2305,PROT LOW-CARB VAINILLA 450GR X GEAR,450000mg,,polvo,DEPORTISTAS,SUPLEMENTOS,314.0,2,3
161,HUECO,C,1,4240,DEXKETOPROFENO 25MG/10ML SOL ORAL 10ML,10ml 25mg,,solucion,ANALGESICOS,MEDICAMENTOS,309.0,1,2
162,HUECO,C,1,3200,DROSPIRENONA/ETINILESTRADIOL 3/0.02MG,0.02mg 3mg,28,tableta,HORMONALES,MEDICAMENTOS,309.0,1,2
163,HUECO,C,1,3927,ROSUVASTAT/EZETIMIBA 10MG/10MG 10TAB,10mg,10,tableta,CARDIOVASCULARES,MEDICAMENTOS,309.0,1,2
164,HUECO,C,2,2449,SIMIREC FOSFATIDILSERINA 30CAP,100mg,30,capsula,SISTEMA NERVIOSO,SUPLEMENTOS,309.0,2,3
165,HUECO,C,1,2226,ALENDRONAT/COLE VITD-3 70MG/5600UI 4COM,5600ui 70mg,4,tableta,ANALGESICOS,MEDICAMENTOS,299.0,1,2
166,HUECO,C,1,2812,CIPROFIBRATO 100MG 30TAB,100mg,30,tableta,CARDIOVASCULARES,MEDICAMENTOS,299.0,1,2
167,HUECO,C,1,4554,DIOSMECTITA 3G 10SOB PVO FRESA IPRIKENE,3000mg,10,polvo,ESTOMACALES (GASTRO),MEDICAMENTOS,299.0,1,2
168,HUECO,C,1,4051,DIOSMECTITA 3G 10SOB PVO P/SUSP IPRIKENE,3000mg,10,polvo,ESTOMACALES (GASTRO),MEDICAMENTOS,299.0,1,2
169,HUECO,C,1,4183,DIOSMECTITA 3G 8 SOB SUSP IPRIKENE CACAO,3000mg,8,suspension,ESTOMACALES (GASTRO),MEDICAMENTOS,299.0,1,2
170,HUECO,C,2,4431,GLICINATO DE MAGNESIO 1250MG PVO 135G,1250mg 135000mg,,polvo,RELAJANTES,SUPLEMENTOS,299.0,2,3
171,HUECO,C,1,3722,MEMANTINA 20MG 28TAB,20mg,28,tableta,SISTEMA NERVIOSO,MEDICAMENTOS,299.0,1,2
172,HUECO,C,1,3903,SUCCIONADOR INTIMO DAMA 1PZA ALFA KINKY,,1,,SEXUALIDAD,SALUD SEXUAL,299.0,1,2
173,HUECO,C,1,3857,TOBILLERA AJUSTABLE UNITALLA,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,299.0,1,2
174,HUECO,C,2,4262,VIT B1/B2/B12 3MG/2MG/6MCG 10ML 10AMP,10ml 2mg 3mg 6mcg,10,solucion,MULTIVITAMINICOS,SUPLEMENTOS,299.0,2,3
175,HUECO,C,2,4216,MAGNESIO/GABA/L TEANINA/L TRIPTO 150GR,125mg 150000mg 150mg 250mg 50mg 5mg,,polvo,RELAJANTES,SUPLEMENTOS,297.01,2,3
176,HUECO,C,2,1321,SIMI VF Q10 150CAP,,150,capsula,MULTIVITAMINICOS,SUPLEMENTOS,297.0,2,3
177,HUECO,C,1,1483,DROSPIRENONA/ETINILEST 21COMP,0.03mg 3mg,21,tableta,HORMONALES,MEDICAMENTOS,295.0,1,2
178,HUECO,C,1,2092,FLUTICASONA 50MCG/DOSIS 120DOSIS,50mcg,,spray,RESPIRATORIOS,MEDICAMENTOS,295.0,1,2
179,HUECO,C,2,1866,SIMIFLEX PLUS 90CAP,200mg 20mg 300mg 30mg,90,capsula,ANALGESICOS,MEDICAMENTOS,295.0,2,3
180,HUECO,C,2,2651,COLAGENO HID/AOX/VIT PVO 195GR,195000mg,,polvo,ANALGESICOS,SUPLEMENTOS,294.0,2,3
181,HUECO,C,2,1104,SIMIFLEX TRIN 90COMP GLUC/CONDR/AC ASCOR,200mg 25mg 300mg,90,tableta,ANALGESICOS,MEDICAMENTOS,294.0,2,3
182,HUECO,C,1,2072,FLUTICASONA/SALMET 50/25MCG120DOSIS,25mcg 50mcg,,spray,RESPIRATORIOS,MEDICAMENTOS,291.0,1,2
183,HUECO,C,1,3032,CLOTRIM/DEXAM 1G/0.04G CREM30GR BAYCUTEN,100000mg 1000mg 30000mg 40mg,,crema,ANTIMICOTICOS,MEDICAMENTOS,289.0,1,2
184,HUECO,C,1,4032,FINASTERIDA 1MG 30TAB,1mg,30,tableta,ESPECIALIDAD,MEDICAMENTOS,289.0,1,2
185,HUECO,C,1,3827,METFOR/SITA 850/50MG 28COMP GEN,50mg 850mg,28,tableta,DIABETES,MEDICAMENTOS,289.0,1,2
