fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-head-shoulders-suave-y-manejable-2-en1-180-mililitros.html,higiene-y-cuidado-personal,Shampoo Head & Shoulders Suave Y Manej 180 ml,,180 ml,ml,12,478.8,39.9,2,39.9,MXN,,pieza=45.9; caja=478.8x12; envio $70 / gratis $1100,5349
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-invisible-con-alas-paquete-con-42-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Saba Invisible con Alas Paquete con 42 Piezas,,42 pza,pza,210,370.0,1.7619,2,74.0,MXN,,pieza=88.9; caja=370.0x5; envio $70 / gratis $1100,5435
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-rexona-aerosol-ap-active-89-g-26470.html,higiene-y-cuidado-personal,Desodorante Rexona Aerosol Ap Active 89 g.,,89 g,g,12,624.0,52.0,2,52.0,MXN,,pieza=56.5; caja=624.0x12; envio $70 / gratis $1100,25194
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-argan-700-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Argan 700 ml,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5366
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-buenas-noches-con-alas-paquete-con-24-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Saba Buenas Noches con Alas Paquete con 24 Piezas,,24 pza,pza,144,387.6,2.6917,3,64.6,MXN,,pieza=74.5; caja=387.6x6; envio $70 / gratis $1100,5426
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/sedal-shampoo-hidratante-anti-nudos-620-ml-26994.html,higiene-y-cuidado-personal,Sedal Shampoo Hidratante Anti Nudos 620 ml,,620 ml,ml,12,897.6,74.8,3,74.8,MXN,,pieza=86.5; caja=897.6x12; envio $70 / gratis $1100,24765
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/16568.html,higiene-y-cuidado-personal,Axe Desodorante Aerosol Bs Dark Tempt 150 Ml,,150 ml,ml,12,777.6,64.8,3,64.8,MXN,,pieza=74.9; caja=777.6x12; envio $70 / gratis $1100,5203
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-stefano-signature-play-en-aerosol-159-ml.html,higiene-y-cuidado-personal,Desodorante Stefano Signature Play en Aerosol 159 ml,,159 ml,ml,12,712.8,59.4,2,59.4,MXN,,pieza=64.6; caja=712.8x12; envio $70 / gratis $1100,5256
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/cepillo-dental-colgate-super-flexi-3-pzas.html,higiene-y-cuidado-personal,Cepillo Dental Colgate Super Flexi 3 pzas,,3 pza,pza,36,536.4,14.9,3,44.7,MXN,,pieza=51.5; caja=536.4x12; envio $70 / gratis $1100,5146
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/desodorante-ego-aerosol-bs-force-150-mililitros.html,higiene-y-cuidado-personal,Ego Aer Deo Bs Force 150 ml,,150 ml,ml,12,477.6,39.8,2,39.8,MXN,,pieza=45.9; caja=477.6x12; envio $70 / gratis $1100,7041
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-chile-700-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Chile 700 ml,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5364
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-savile-colageno-700-mililitros.html,higiene-y-cuidado-personal,Shampoo Savilé Colageno 700 ml,,700 ml,ml,12,770.4,64.2,2,64.2,MXN,,pieza=73.9; caja=770.4x12; envio $70 / gratis $1100,5378
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/cepillo-dental-pro-compact-ond-paquete-con-6-piezas.html,higiene-y-cuidado-personal,Cepillo Dental Pro Compact Ond Pack De 6 Pzs,,,pza,5,429.0,85.8,2,85.8,MXN,,pieza=98.9; caja=429.0x5; envio $70 / gratis $1100,7760
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/gillette-desodorante-gel-miniclear-cool-wave-45-gr.html,higiene-y-cuidado-personal,Gillette Desodorante Gel Miniclear Cool Wave 45 Gr,,45 g,g,12,564.0,47.0,2,47.0,MXN,,pieza=54.5; caja=564.0x12; envio $70 / gratis $1100,8808
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/old-spice-desodorante-spray-lena-96-gr.html,higiene-y-cuidado-personal,Old Spice Desodorante Spray Lena 96 Gr,,96 g,g,12,781.2,65.1,2,65.1,MXN,,pieza=74.9; caja=781.2x12; envio $70 / gratis $1100,12840
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-naturella-noche-con-alas-paquete-con-24-piezas.html,higiene-y-cuidado-personal,Toalla Fem. Naturella Noche Con Alas Paq. 24 pz,,24 pza,pza,288,878.4,3.05,3,73.2,MXN,,pieza=84.5; caja=878.4x12; envio $70 / gratis $1100,5424
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/shampoo-caprice-naturals-aceite-herbal-de-760-ml.html,higiene-y-cuidado-personal,Shampoo Caprice Naturals Aceite Herbal de 760 ml,,760 ml,ml,12,589.2,49.1,2,49.1,MXN,,pieza=56.5; caja=589.2x12; envio $70 / gratis $1100,7084
