fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Uva 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-22-gelatina-d-gari-sabor-uva-120-gr
Exprezo,mayorista,2026-08-12,,,Jugo Maggi Sazonador 100 Ml,,100 ml,ml,1,36.17,36.17,1,,MXN,,sitio_reporta_unidad=42.6 (no se usa; se calcula),exprezo-23-jugo-maggi-sazonador-100-ml
Exprezo,mayorista,2026-08-12,,,Elote Dorado La Costeña 220 Gr,,220 g,g,1,10.83,10.83,1,,MXN,,sitio_reporta_unidad=12.4 (no se usa; se calcula),exprezo-24-elote-dorado-la-coste-a-220-gr
Exprezo,mayorista,2026-08-12,,,Gelatina D'Gari Sabor Piña 120 Gr,,120 g,g,1,10.76,10.76,1,,MXN,,sitio_reporta_unidad=12.0 (no se usa; se calcula),exprezo-25-gelatina-d-gari-sabor-pi-a-120-gr
Exprezo,mayorista,2026-08-12,,,Elote Dorado La Costeña 410 Gr,,410 g,g,1,17.5,17.5,1,,MXN,,sitio_reporta_unidad=19.9 (no se usa; se calcula),exprezo-26-elote-dorado-la-coste-a-410-gr
Exprezo,mayorista,2026-08-12,,,Salsa Cátsup Clemente Jacques 340 Gr,,340 g,g,1,15.5,15.5,1,,MXN,,sitio_reporta_unidad=18.5 (no se usa; se calcula),exprezo-27-salsa-c-tsup-clemente-jacques-340-gr
Exprezo,mayorista,2026-08-12,,,Chiles La Costeña Enteros En Escabeche 220 Gr,,220 g,g,1,12.99,12.99,1,,MXN,,sitio_reporta_unidad=15.3 (no se usa; se calcula),exprezo-28-chiles-la-coste-a-enteros-en-escabeche-2
Exprezo,mayorista,2026-08-12,,,Ensalada De Verduras La Costeña 410 Gr,,410 g,g,1,15.48,15.48,1,,MXN,,sitio_reporta_unidad=17.6 (no se usa; se calcula),exprezo-29-ensalada-de-verduras-la-coste-a-410-gr
Exprezo,mayorista,2026-08-12,,,Mostaza McCormick preparada 220g,,220 g,g,1,20.81,20.81,1,,MXN,,sitio_reporta_unidad=23.2 (no se usa; se calcula),exprezo-30-mostaza-mccormick-preparada-220g
Exprezo,mayorista,2026-08-12,,,Sopa Maruchan Ramen con Camarón 85 gr.,,85 g,g,1,6.37,6.37,1,,MXN,,sitio_reporta_unidad=6.8 (no se usa; se calcula),exprezo-31-sopa-maruchan-ramen-con-camar-n-85-gr-
Exprezo,mayorista,2026-08-12,,,Granos de Elote Herdez 220g,,220 g,g,1,8.7,8.7,1,,MXN,,sitio_reporta_unidad=9.9 (no se usa; se calcula),exprezo-32-granos-de-elote-herdez-220g
Exprezo,mayorista,2026-08-12,,,Granos de Elote Herdez 400g,,400 g,g,1,13.9,13.9,1,,MXN,,sitio_reporta_unidad=15.2 (no se usa; se calcula),exprezo-33-granos-de-elote-herdez-400g
Exprezo,mayorista,2026-08-12,,,Pétalo Papel higiénico Ultra Resistente 4 Rollos con 300 Hojas c/u,,,pza,1,22.19,22.19,1,,MXN,,sitio_reporta_unidad=24.7 (no se usa; se calcula),exprezo-34-p-talo-papel-higi-nico-ultra-resistente-
Exprezo,mayorista,2026-08-12,,,Salsa Valentina Etiqueta Amarilla 1 L,,1000 ml,ml,1,27.04,27.04,1,,MXN,,sitio_reporta_unidad=31.9 (no se usa; se calcula),exprezo-35-salsa-valentina-etiqueta-amarilla-1-l
Exprezo,mayorista,2026-08-12,,,Ensalada de legumbres Herdez 400 g,,400 g,g,1,13.9,13.9,1,,MXN,,sitio_reporta_unidad=15.8 (no se usa; se calcula),exprezo-36-ensalada-de-legumbres-herdez-400-g
Exprezo,mayorista,2026-08-12,,,Vinagre De Manzana Barrilito 750 Ml,,750 ml,ml,1,19.33,19.33,1,,MXN,,sitio_reporta_unidad=23.6 (no se usa; se calcula),exprezo-37-vinagre-de-manzana-barrilito-750-ml
Exprezo,mayorista,2026-08-12,,,Papel Higiénico Regio Rinde + 400 HD 4 pzas.,,4 pza,pza,4,27.89,6.9725,1,,MXN,,sitio_reporta_unidad=31.7 (no se usa; se calcula),exprezo-38-papel-higi-nico-regio-rinde-400-hd-4-pza
Exprezo,mayorista,2026-08-12,,,Servilleta Prueba 125 pzas,,125 pza,pza,125,7.73,0.0618,1,,MXN,,sitio_reporta_unidad=8.9 (no se usa; se calcula),exprezo-39-servilleta-prueba-125-pzas
Exprezo,mayorista,2026-08-12,,,Chocolate En Polvo Choco Milk Bolsa 160 Gr,,160 g,g,1,27.54,27.54,1,,MXN,,sitio_reporta_unidad=30.9 (no se usa; se calcula),exprezo-40-chocolate-en-polvo-choco-milk-bolsa-160-
Exprezo,mayorista,2026-08-12,,,Rajas De Chiles Verdes La Morena 210 Gr,,210 g,g,1,17.25,17.25,1,,MXN,,sitio_reporta_unidad=19.5 (no se usa; se calcula),exprezo-41-rajas-de-chiles-verdes-la-morena-210-gr
Exprezo,mayorista,2026-08-12,,,Media Crema Nestlé 225 Gr,,225 g,g,1,19.12,19.12,1,,MXN,,sitio_reporta_unidad=21.5 (no se usa; se calcula),exprezo-42-media-crema-nestl-225-gr
Exprezo,mayorista,2026-08-12,,,Chiles La Costeña Picados En Escabeche 220 Gr,,220 g,g,1,15.0,15.0,1,,MXN,,sitio_reporta_unidad=17.7 (no se usa; se calcula),exprezo-43-chiles-la-coste-a-picados-en-escabeche-2
Exprezo,mayorista,2026-08-12,,,Salsa De Chile Chipotle San Marcos 215 Gr,,215 g,g,1,17.26,17.26,1,,MXN,,sitio_reporta_unidad=20.1 (no se usa; se calcula),exprezo-44-salsa-de-chile-chipotle-san-marcos-215-g
