sku,nombre,categoria,tipo,costo,precio_actual,precio_propuesto,regla,recargo_pct,utilidad_pesos,margen_bruto_pct,variacion_pct,needs_review,manual_like,motivo_regla
FC-56326142,Ponds S Humectante,Cuidado personal,marca,26.48,42.37,38,higiene,40.0,11.52,30.3,-10.3,False,False,higiene
FC-31976394,Listerine Anticari-Al,Higiene,marca,30.02,48.04,43,higiene,40.0,12.98,30.2,-10.5,False,False,higiene
FC-85800198,Huggies Super,Higiene,marca,36.3,58.08,48,bebe,30.0,11.7,24.4,-17.4,False,False,bebe
FC-10974329,Listerine Zero Mta Sve,Higiene,marca,12.97,20.76,19,higiene,40.0,6.03,31.7,-8.5,False,False,higiene
FC-00701992,Nivea Manos 3En1 Ant-Arrugas,Cuidado personal,marca,12.97,20.76,19,higiene,40.0,6.03,31.7,-8.5,False,False,higiene
FC-35908130,Mennen Azul,Higiene,marca,69.19,110.71,97,higiene,40.0,27.81,28.7,-12.4,False,False,higiene
FC-76000260,Vitacilina Amarilla Aclaradora,Cuidado personal,marca,80.0,128.0,112,higiene,40.0,32.0,28.6,-12.5,False,False,higiene
FC-76000253,Vitacilina Roja Antiarrugas,Cuidado personal,marca,80.0,128.0,112,higiene,40.0,32.0,28.6,-12.5,False,False,higiene
FC-68960257,Dibar Ilt Rojo,Botiquín,marca,638.45,1021.53,958,material_curacion,50.0,319.55,33.4,-6.2,False,False,material_curacion
FC-68900226,Dibar Rojo,Botiquín,marca,15.68,25.09,24,material_curacion,50.0,8.32,34.7,-4.3,False,False,material_curacion
FC-68990023,Dibar Rojo,Botiquín,marca,676.85,1082.96,1016,material_curacion,50.0,339.15,33.4,-6.2,False,False,material_curacion
FC-77620056,La Flor Agua Destilada,Botiquín,marca,19.0,30.4,29,material_curacion,50.0,10.0,34.5,-4.6,False,False,material_curacion
FC-00003920,Mercurio Arnica,Producto,marca,15.0,24.0,21,sin_clasificar,35.0,6.0,28.6,-12.5,True,False,ambiguo
FC-16800803,Diapro Confort Med,Producto,marca,170.0,272.0,230,sin_clasificar,35.0,60.0,26.1,-15.4,True,False,ambiguo
FC-86901100,Dibar Azul,Botiquín,marca,37.0,59.2,56,material_curacion,50.0,19.0,33.9,-5.4,False,False,material_curacion
FC-68901131,Azul,Botiquín,marca,205.0,328.0,308,material_curacion,50.0,103.0,33.4,-6.1,False,False,material_curacion
FC-68901117,Dibar Azul,Botiquín,marca,56.5,90.4,85,material_curacion,50.0,28.5,33.5,-6.0,False,False,material_curacion
FC-68901124,Azul,Botiquín,marca,120.0,192.0,180,material_curacion,50.0,60.0,33.3,-6.2,False,False,material_curacion
FC-98223704,Eurobion Bolo Tab,Otro,marca,269.28,350.07,364,med_otc_marca,35.0,94.72,26.0,4.0,False,False,otc marca
FC-33950100,Lio Chte,Producto,marca,42.0,67.2,57,sin_clasificar,35.0,15.0,26.3,-15.2,True,False,ambiguo
FC-33950063,Basuye Liq Fsa,Suplemento,marca,84.0,134.4,122,vitaminas,45.0,38.0,31.1,-9.2,False,False,vitaminas
FC-33950070,Ensure Liq Vnlla,Suplemento,marca,42.0,67.2,61,vitaminas,45.0,19.0,31.1,-9.2,False,False,vitaminas
FC-33956133,Lucerna Liq,Suplemento,marca,95.0,152.0,138,vitaminas,45.0,43.0,31.2,-9.2,False,False,vitaminas
FC-07521317,Cristal,Botiquín,marca,119.99,191.99,180,material_curacion,50.0,60.01,33.3,-6.2,False,False,material_curacion
FC-01157296,Naturella Flujo Mod C/Alas,Higiene,marca,85.0,136.0,119,higiene,40.0,34.0,28.6,-12.5,False,False,higiene
FC-01405335,Naturella Noche Con Alas,Higiene,marca,18.5,29.6,26,higiene,40.0,7.5,28.8,-12.2,False,False,higiene
FC-33951008,Pediasure Liq Chte,Suplemento,marca,44.0,70.41,64,vitaminas,45.0,20.0,31.2,-9.1,False,False,vitaminas
FC-33954245,Pediasure Liq Fsa,Suplemento,marca,44.0,70.41,64,vitaminas,45.0,20.0,31.2,-9.1,False,False,vitaminas
FC-33950209,Pediasure Liq Vnlla,Suplemento,marca,88.0,140.81,128,vitaminas,45.0,40.0,31.2,-9.1,False,False,vitaminas
FC-19006623,Saba Buenas Noches,Higiene,marca,99.0,158.4,139,higiene,40.0,40.0,28.8,-12.2,False,False,higiene
FC-62746698,Ajolotius,Otro,marca,7.45,9.69,13,med_otc_marca,35.0,5.55,42.7,34.2,False,True,otc marca
FC-45307181,Arnica Bde Parche,GENERAL,marca,149.35,238.96,202,sin_clasificar,35.0,52.65,26.1,-15.5,True,False,ambiguo
FC-62746643,Ajolotius Menta Fucal Menta Fucal,GENERAL,marca,19.5,31.21,27,sin_clasificar,35.0,7.5,27.8,-13.5,True,False,ambiguo
