sku,nombre,categoria,tipo,codigo_barras,costo_compra,precio_venta_fc,margen_bruto_pct,markup_sobre_costo_pct,precio_teorico_costo_x1_6,dif_vs_teorico_pct,precio_similares,precio_del_ahorro,precio_exprezo,ref_mercado_min,dif_vs_mercado_pct,fecha_ref_competencia
FC-6074BB64,Redalip,Otro,marca,,21.01,27.32,23.1,30.0,33.62,-18.7,,,,,,
FC-57925EF3,Reglusan,Otro,marca,,8.88,11.55,23.1,30.1,14.21,-18.7,,,,,,
FC-2E5B7248,Reumatol,Producto,marca,,11.0,17.61,37.5,60.1,17.6,0.1,,,,,,
FC-06257597,Rexona 1O0 G Tco Pies Efficient Orig,GENERAL,marca,7506306257597,40.24,55.0,26.8,36.7,64.38,-14.6,,,,,,
FC-75076009,Rexona 48H Happy (Mujer),Higiene,marca,75076009,51.5,85.6,39.8,66.2,82.4,3.9,,,,,,
FC-06217461,Rexona Effi Fresh,Higiene,marca,7506306217461,64.12,90.0,28.8,40.4,102.59,-12.3,,,,,,
FC-75069223,Rexona Mot-Sen Sport Stick,Higiene,marca,75069223,42.82,60.0,28.6,40.1,68.51,-12.4,,,,,,
FC-22150221,Ricitos de Oro Neutro,Higiene,marca,7501022150221,20.8,30.0,30.7,44.2,33.28,-9.9,,,,,,
FC-36033735,Ricitos de Oro Oro Agua De Coco,Higiene,marca,037836033735,42.34,60.0,29.4,41.7,67.74,-11.4,,,,,,
FC-36032776,Ricitos de Oro Oro Biopure,Higiene,marca,037836032776,74.31,105.0,29.2,41.3,118.9,-11.7,,,,,,
FC-77FE5C83,S,Otro,marca,,32.41,42.14,23.1,30.0,51.86,-18.7,,,,,,
FC-0E0A9E42,S,Otro,marca,,47.99,62.39,23.1,30.0,76.78,-18.7,,,,,,
FC-19006623,Saba buenas noches,Higiene,marca,7501019050664,9.9,15.0,34.0,51.5,15.84,-5.3,,,,,,
FC-19006371,Saba Inv Alas,Higiene,marca,7501019006371,10.17,15.0,32.2,47.5,16.27,-7.8,,,,,,
