sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
1326,CLORFENAMINA / FENILEFRINA / PARACETAMOL 24 TABLETAS,,36.0,Antigripal,Aparato respiratorio,tableta,24,,clorfenamina + fenilefrina + paracetamol,https://www.farmaciasdesimilares.com/clorfenamina_feni_para_24tab/p,vtex
1268,SUCRALFATO 1 GR 40 TABLETAS,,82.0,Funcionamiento gastrointestinal,Medicamentos,tableta,40,1000mg,sucralfato,https://www.farmaciasdesimilares.com/sucralfato_1gr_caja_40tab/p,vtex
1248,TOPIRAMATO 25 MG 20 TABLETAS,,78.0,Anticonvulsivo,Medicamentos,tableta,20,25mg,topiramato,https://www.farmaciasdesimilares.com/topiramato_25mg_20tab/p,vtex
123,KETOCONAZOL CREMA 2% 40 GR 1 PIEZA,,32.0,Antimicótico,Medicamentos,crema,1,40000mg,ketoconazol,https://www.farmaciasdesimilares.com/ketoconazol_crema_2_40gr/p,vtex
1210,OMEGA RX VITAMINA E / OMEGA 3 / EPA / DHA SIMIOMEGA 60 CAPSULAS,,194.0,Circulatorio,Suplementos y multivitamínicos,capsula,60,,omega + omega,https://www.farmaciasdesimilares.com/omega_rx_60cap_vit_e_omega3_epa_dha_simi/p,vtex
1195,LATANOPROST .05MG/1ML SOLUCION OFTALMICA 1 PIEZA,,119.0,Oftalmológico,Medicamentos,solucion,1,1ml 5mg,latanoprost,https://www.farmaciasdesimilares.com/latanoprost_05mg_1ml_sol_oft_2_5ml/p,vtex
1123,METOPROLOL 100 MG 50 TABLETAS,,49.0,Antihipertensivo,Medicamentos,tableta,50,100mg,metoprolol,https://www.farmaciasdesimilares.com/metoprolol_100mg_50tab/p,vtex
1108,CLONIXINATO DE LISINA 250 MG 10 TABLETAS,,45.0,Analgésicos,Medicamentos,tableta,10,250mg,clonixinato,https://www.farmaciasdesimilares.com/clonixinato_lis_250mg_10tab/p,vtex
1079,ZINC 7.18MG 100 CAPSULAS,,97.0,Sistema inmune,Aparato respiratorio,capsula,100,7.18mg,,https://www.farmaciasdesimilares.com/zinc_7_18mg_100cap/p,vtex
1062,SIMIFILA CLOROFILA LIQUIDA SOLUCION 250 ML 1 PIEZA,,57.0,Funcionamiento gastrointestinal,Funcionamiento gastrointestinal,solucion,1,250ml,simifila,https://www.farmaciasdesimilares.com/simifila_clorofila_liq_250ml/p,vtex
1060,GOMITAS VITAMINAS Y MINERALES SABOR LIMON / NARANJA / PIÑA / SIMIGOMITAS 60 GOMITAS,,88.0,Multivitamínicos,Suplementos y multivitamínicos,,,,gomitas + minerales + naranja + simigomitas,https://www.farmaciasdesimilares.com/gomitas_vit_mine_60pzas_sabores_simigomi/p,vtex
1058,simibaby_toallas_humedas_p_bebe_80_pzas_simi_baby,,47.01,Cuidado del bebé,Bebés,,80,,simibaby,https://www.farmaciasdesimilares.com/toallas_humedas_p_bebe_80_pzas_simi_baby/p,vtex
1036,PROBIOTICOS SABOR UVA TABLETAS 30 MASTICABLES,,51.0,Lactobacilos,Funcionamiento gastrointestinal,tableta,,,probioticos,https://www.farmaciasdesimilares.com/probioticos_30tab_mast_uva_simiprobiot/p,vtex
724,GELASIMI CISTEINA / CITRUS / BIOFLAVONOIDES 30 TABLETAS,,69.0,Belleza,Suplementos y multivitamínicos,tableta,30,,gelasimi + citrus + bioflavonoides,https://www.farmaciasdesimilares.com/gelasimi_30tab_cisteina_citrus_bioflavon/p,vtex
1278,GEL ANTIACNE SIMISEPTIC 30 GR 1 PIEZA,,64.0,Dermatológico,Cuidado de la piel y belleza,gel,1,30000mg,antiacne,https://www.farmaciasdesimilares.com/gel_antiacne_simiseptic_30gr/p,vtex
1222,ALMOHADILLAS FACIALES 100 PIEZAS,,36.0,Higiene,"Higiene, curación y diagnóstico",,100,,almohadillas,https://www.farmaciasdesimilares.com/almohadillas_faciales_100pzas/p,vtex
943,PRUEBA DE EMBARAZO ANÁLOGA,,50.0,Material de diagnóstico,"Higiene, curación y diagnóstico",,,,prueba,https://www.farmaciasdesimilares.com/prueba_de_embarazo_analoga/p,vtex
810,FINASTERIDA 5 MG 30 TABLETAS,,199.0,Medicamentos éticos,Medicamentos,tableta,30,5mg,finasterida,https://www.farmaciasdesimilares.com/finasterida_5mg_30tab/p,vtex
