id,sku,nombre,codigo_barras,principio_activo,presentacion,tipo_ficha,clave_monografia,fuente_texto,estado
752,FC-73906469,Biobend bencidamina solucion bucal 360 mL,7501573906469,Bencidamina 0.15 g/100 mL,Frasco 360 mL,medicamento,bencidamina,instructivo,pendiente
757,FC-11165726,Raspisons unguento neomicina/retinol 28 g,7501311165726,Neomicina + Retinol,Tubo 28 g,medicamento,neomicina + retinol,instructivo,pendiente
443,FC-60101521,Soft Lub Pleasure 56.7 g,7506460101521,,56.7 G,revisar_clasificacion,,fabricante,pendiente
809,FC-11788928,Desyn-N (Lidocaína/Hidrocortisona) 60/5 mg,7502211788928,Lidocaína/Hidrocortisona,Caja con 6 supositorios,medicamento,lidocaina + hidrocortisona,instructivo,pendiente
675,FC-6040351,Lotrimin-Uno Crema 1% 20 g,7502276040351,Bifonazol,Tubo 20 g,medicamento,bifonazol,instructivo,pendiente
746,FC-24901059,beadvance Senósidos A-B 8.6 mg,7506624901059,Senósidos A-B,Caja,medicamento,senosidos a-b,instructivo,pendiente
21,FC-60F627D5,Gentamicina,7501349026094,GENTAMICINA,5 AMPOLLETA,medicamento,gentamicina,instructivo,pendiente
536,FC-5EF90195,Mercurio Flor De Arnica,3311000003845,Producto homeopatico / natural,C/50,suplemento_o_natural,,fabricante,pendiente
1177,FC-02045312,Esencia de clavo Frasco gotero Herbotec,7503002045312,Aceite de clavo,Frasco gotero,medicamento,aceite de clavo,instructivo,pendiente
815,FC-11783282,Erbitrax (Terbinafina) crema 1%,7502211783282,Terbinafina,Tubo 30 g,medicamento,terbinafina,instructivo,pendiente
1176,FC-46601138,Merthorab Frasco 20 mL Kohn,7506346601138,Cloruro de benzalconio,Frasco 20 mL,medicamento,cloruro de benzalconio,instructivo,pendiente
1135,FC-22300881,Jeringa insulina SensiMedical 1 mL 27G x 13 mm,7506022300881,,1 pieza 1 mL 27G x 13 mm,revisar_clasificacion,,fabricante,pendiente
1134,FC-25100116,Solucion CS PiSA cloruro de sodio 0.9% 250 mL,7501125100116,Cloruro de sodio 0.9%,Frasco 250 mL sistema abierto,medicamento,cloruro de sodio 0.9%,instructivo,pendiente
327,FC-00701992,Crema Nivea manos antiarrugas,4005900701992,Emolientes / humectantes,75 ML,dermocosmetico,,fabricante,pendiente
768,FC-36003621,Precicol hioscina/paracetamol gotas 20 mL,7501836003621,Hioscina + Paracetamol,Gotas 20 mL,medicamento,hioscina + paracetamol,instructivo,pendiente
814,FC-36009661,Dualgos (Paracetamol/Ibuprofeno) 325/200 mg,7501836009661,Paracetamol/Ibuprofeno,Caja con 20 tabletas,medicamento,paracetamol + ibuprofeno,instructivo,pendiente
812,FC-83141929,Dolprin (Ibuprofeno) suspensión 2 g/100 mL,0780083141929,Ibuprofeno,Frasco 120 mL con dosificador,medicamento,ibuprofeno,instructivo,pendiente
813,FC-01165045,Dolzycam (Piroxicam) gel 0.5%,7502001165045,Piroxicam,Tubo 60 g,medicamento,piroxicam,instructivo,pendiente
816,FC-25300366,Espabion (Trimebutina) 20 mg/mL gotas,7501825300366,Trimebutina,Frasco 30 mL con gotero,medicamento,trimebutina,instructivo,pendiente
817,FC-25300373,Espabion (Trimebutina) suspensión 2 g/100 mL,7501825300373,Trimebutina,Frasco 100 mL,medicamento,trimebutina,instructivo,pendiente
326,FC-10974329,Enjuague Buc Listerine Cool Mint,7891010974329,,250 ML,revisar_clasificacion,,fabricante,pendiente
561,FC-BE0A0E46,Cateter para Venoclisis 22 g,7506022316622,,1 pz,revisar_clasificacion,,fabricante,pendiente
819,FC-83144807,Fazolin (Nafazolina) solución oftálmica 1 mg/mL,0780083144807,Nafazolina,Frasco gotero 15 mL,medicamento,nafazolina,instructivo,pendiente
779,FC-08344495,Lactopram infantil 150 mg sabor chocolate,7503008344495,Lactobacillus,150 mg sabor chocolate,suplemento_o_natural,,fabricante,pendiente
1136,FC-22300775,Jeringa Sensi Medical 3 mL 22G x 32 mm negra,7506022300775,,1 pieza 3 mL 22G x 32 mm,revisar_clasificacion,,fabricante,pendiente
474,FC-08498798,Bepanthen Cutanea,7501008498798,Dexpanthenol,30 g,medicamento,dexpanthenol,instructivo,pendiente
437,FC-01246730,Vicks Vaporub pomada 12 g,75916565,Alcanfor + Mentol + Eucalipto,12 G,medicamento,alcanfor + mentol + eucalipto,instructivo,pendiente
696,FC-03476594,Curitas Transpiel,7702003476594,,100 pzs,revisar_clasificacion,,fabricante,pendiente
439,FC-02012468,Vicks Vaporub ungüento 50G,7590002012468,Alcanfor + Mentol + Eucalipto,50 G,medicamento,alcanfor + mentol + eucalipto,instructivo,pendiente
438,FC-02012475,Vicks Vaporub ungüento 100 G,7590002012475,Alcanfor + Mentol + Eucalipto,100 G,medicamento,alcanfor + mentol + eucalipto,instructivo,pendiente
896,EQ-BIO100,Biostafex 10 Tab 120 Mg,7501573904151,Fexofenadina,Caja con 10 tabletas,medicamento,fexofenadina,instructivo,pendiente
860,FC-01007656,Wamindel (Paracetamol) gotas 100 mg/mL,7503001007656,Paracetamol,Frasco 30 mL con gotero,medicamento,paracetamol,instructivo,pendiente
570,FC-06226739,Desodorante Axe Conviction,7506306226739,Antitranspirante / desodorante,Spray 150 mL,cuidado_personal_o_material,,fabricante,pendiente
861,FC-01007663,Wamindel (Paracetamol) solución infantil 3.2 g/100 mL,7503001007663,Paracetamol,Frasco 120 mL con dosificador,medicamento,paracetamol,instructivo,pendiente
822,FC-27425008,Groobe (Dimenhidrinato) 50 mg,7502227425008,Dimenhidrinato,Caja con 24 cápsulas,medicamento,dimenhidrinato,instructivo,pendiente
823,FC-47521025,Hemoger (Sulfato ferroso) 300 mg,7501547521025,Sulfato ferroso,Frasco con 50 grageas,medicamento,sulfato ferroso,instructivo,pendiente
821,FC-71800210,Floroglucinol / Trimetilfloroglucinol 80/80 mg,7501471800210,,Caja con 20 cápsulas,revisar_clasificacion,,fabricante,pendiente
648,FC-07535494,Motrin Infantil Suspension 120 ml,7501007535494,Ibuprofeno 2 g/100 ml,Frasco 120 ml sabor frutas,medicamento,ibuprofeno,instructivo,pendiente
598,FC-00740024,Silka Medic Gel,650240007408,Terbinafina,Tubo 15 g,medicamento,terbinafina,instructivo,pendiente
818,FC-01165298,Exhantil suspensión antiácido/antiflatulento,7502001165298,,Frasco 320 mL sabor menta-limón,revisar_clasificacion,,fabricante,pendiente
475,FC-08491096,Cafiaspirina tartrato C/100,7501008491096,Acido acetilsalicilico + Caffeina,C/100,medicamento,acido acetilsalicilico + caffeina,instructivo,pendiente
522,FC-926099D3,Mertiolate Kohn Rojo,,Timerosal,C/25,medicamento,timerosal,instructivo,pendiente
780,FC-50003314,Unguento Bronco Rub 40 g,714706800900,Herbolario topico,Frasco 40 g,medicamento,herbolario topico,instructivo,pendiente
595,FC-12225027,Derman Crema 50 g,3543122250276,Ácido undecilénico + Undecilenato de zinc,50 G,medicamento,acido undecilenico + undecilenato de zinc,instructivo,pendiente
826,FC-18752637,Itamol (Subsalicilato de bismuto) 262 mg,0785118752637,Subsalicilato de bismuto,Caja con 24 tabletas masticables,medicamento,subsalicilato de bismuto,instructivo,pendiente
