sku,ticket,linea,nombre_original,nombre_nuevo,marca,presentacion,principio_activo,concentracion,forma_farmaceutica
FC-347A49C7,440393,126,AMIKACINA 1 AMP 100 MG/2 ML,Amikacina,,1 AMPOLLETA,AMIKACINA,100 MG/2,AMPOLLETA
FC-E4BE37BE,440393,127,ATORVASTATINA 10 TAB 40 MG,Atorvastatina,,10 TABLETAS,ATORVASTATINA,40 MG,TABLETAS
FC-1751468C,440393,128,FLOSPET 8 TAB 400 MG,Flospet,,8 TABLETAS,FLOSPET,400 MG,TABLETAS
FC-6898B64F,440393,129,BIOERTER 1 SUSP 250 MG/100 ML,Bioerter,,1 SUSPENSION,BIOERTER,250 MG/100,SUSPENSION
FC-CD261CD5,440393,130,DOLIPROFEN 10 TAB 800 MG,Doliprofen,,10 TABLETAS,DOLIPROFEN,800 MG,TABLETAS
FC-5C8C9C11,440393,131,GELUBRIN 10 CAPS 600 MG,Gelubrin,,10 CAPSULAS,GELUBRIN,600 MG,CAPSULAS
FC-A23F290E,440393,132,ZITRIASOL 15 CAP 100 MG,Zitriasol,,15 CAPSULAS,ZITRIASOL,100 MG,CAPSULAS
FC-5885E577,440393,133,PABESORAG 28 TAB 150/12.5 MG,Pabesorag,,28 TABLETAS,PABESORAG,150/12.5 MG,TABLETAS
FC-3D0F54B7,440393,134,IBUPRO-CAFE 10 CAPS 400 MG/100 MG,Ibupro-Cafe,,10 CAPSULAS,IBUPRO-CAFE,400 MG/100 MG,CAPSULAS
FC-F7A2CACF,440393,135,INDARZONA 30 CAPS 25/0.5 MG,Indarzona,,30 CAPSULAS,INDARZONA,25/0.5 MG,CAPSULAS
FC-50D044FF,440393,136,WERMY 15 CAPS 300 MG,Wermy,,15 CAPSULAS,WERMY,300 MG,CAPSULAS
FC-E535DE28,440393,137,DIURMESSEL 20 TAB 40 MG,Diurmessel,,20 TABLETAS,DIURMESSEL,40 MG,TABLETAS
FC-1321B34F,440393,138,HIDROXON 30 TAB 10 MG,Hidroxon,,30 TABLETAS,HIDROXON,10 MG,TABLETAS
FC-1AE9D7E6,440393,139,COLLUCORT 1 CMA 1% 60 G,Collucort 1 Cma 1%,,60 G,,,
FC-3E863E37,440393,140,TRATIDRI 1 GEL 500/50 MG 60 G,Tratidri,,1 GEL,TRATIDRI,500/50 MG 60 G,GEL
FC-9ABFB996,440393,141,ELAPHTERON 20 TAB 100 MG,Elaphteron,,20 TABLETAS,ELAPHTERON,100 MG,TABLETAS
FC-9A37D44A,440393,142,AMDORYL 14 CAPS 30 MG,Amdoryl,,14 CAPSULAS,AMDORYL,30 MG,CAPSULAS
FC-1BF03D35,440393,143,ACETONIDO DE FLUOCINOLONA CMA,Tonido De Fluocinolona Cma,Ace,,,,
FC-5BC5F234,440393,144,FLUCONAZOL 1 CAPS 150 MG,Fluconazol,,1 CAPSULAS,FLUCONAZOL,150 MG,CAPSULAS
FC-A2B284E0,440393,145,HIALURONATO DE SODIO 4MG 10 ML,Hialuronato De Sodio 4Mg 10,,,,,
FC-2E79C2D8,440393,146,HIERRO DEX 3 AMP 100 MG/2 ML,Hierro Dex,,3 AMPOLLETA,HIERRO DEX,100 MG/2,AMPOLLETA
FC-28A424E5,440393,147,DIZIVER 20 TAB 25 MG,Diziver,,20 TABLETAS,DIZIVER,25 MG,TABLETAS
FC-52D2A43A,440393,148,ZUKEDIB 30 TAB 2 MG,Zukedib,,30 TABLETAS,ZUKEDIB,2 MG,TABLETAS
FC-3D0ED22B,440393,149,ZUKEDIB 30 TAB 4 MG,Zukedib,,30 TABLETAS,ZUKEDIB,4 MG,TABLETAS
FC-04D83B46,440393,150,PRALEX 28 TAB 10 MG,Pralex,,28 TABLETAS,PRALEX,10 MG,TABLETAS
FC-D11D586A,440393,151,VALGAB 3 IBE 50MG/6ML,Valgab 3 Ibe 50Mg/,,6 ML,,,
FC-53506FA4,440393,152,ENALAPRIL 30 TAB 10 MG,Enalapril,,30 TABLETAS,ENALAPRIL,10 MG,TABLETAS
FC-F7DB080D,440393,153,OVISEN 28 TAB 20 MG,Ovisen,Ovisen,28 TABLETAS,,20 MG,TABLETAS
FC-FD92D114,440393,154,OVISEN 14 TAB 20 MG,Ovisen,Ovisen,14 TABLETAS,,20 MG,TABLETAS
FC-57925EF3,440393,155,REGLUSAN 50 TAB 5 MG,Reglusan,,50 TABLETAS,REGLUSAN,5 MG,TABLETAS
FC-AA7B0686,440393,156,DROSQUIM AD 1 IBE 300/160/200 ML,Drosquim Ad 1 Ibe 300/160/200,,,,,
FC-B3B8F9BB,440393,157,DESROTAN 10 TAB 180 MG,Desrotan,,10 TABLETAS,DESROTAN,180 MG,TABLETAS
FC-EADF1484,440393,158,DIOSMINA HESPERIDINA 20 TAB 450/50 MG,Diosmina Hesperidina,,20 TABLETAS,DIOSMINA HESPERIDINA,450/50 MG,TABLETAS
FC-262F2A30,440393,159,IRBESARTAN 14 TAB 150 MG,Irbesartan,,14 TABLETAS,IRBESARTAN,150 MG,TABLETAS
FC-1DAD5EF1,440393,160,TUSILEN AD 1 IBE 240/30/50MG/100/118 ML,Tusilen Ad 1 Ibe 240/30/50Mg/100/118,,,,,
