sku,ticket,nombre_original,nombre_nuevo,marca,presentacion,forma,principio_activo,categoria,notas
FC-A0D320D1,440393,AMOXICILINA 12 CAPS 500 MG,Amoxicilina,,12 CAPSULAS,CAPSULAS,AMOXICILINA,Medicamento,
FC-95779436,440393,ACIDO ACETILSALICILICO EF 20 TAB 300 MG,Acetilsalicilico Ef,Acido,20 TABLETAS,TABLETAS,,Medicamento,
FC-4C621D07,440393,VANMOXOL 1 SUSP 250/15MG/5/90 ML,Vanmoxol,,1 SUSPENSION,SUSPENSION,VANMOXOL,Medicamento,
FC-022543CD,440393,VALCLAN 10 TAB 500/125 MG,Valclan,Valclan,10 TABLETAS,TABLETAS,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-64EB83AA,440393,"BENCIL/BENZ COMPL 1 FA 1,2 U 3 ML",Compl,Bencil/Benz,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-D210172A,440393,AMPICILINA 1 FA 1G/5 ML,Ampicilina,,1 FRASCO AMPULA,FRASCO AMPULA,AMPICILINA,Medicamento,
FC-7F90064A,440393,AMPICILINA 1 FA 500MG/2 ML,Ampicilina,,1 FRASCO AMPULA,FRASCO AMPULA,AMPICILINA,Medicamento,
FC-F82A6E4B,440393,AMPICILINA 10 TAB 1 G,Ampicilina,,10 TABLETAS,TABLETAS,AMPICILINA,Medicamento,
FC-5F30F9D4,440393,CLAMOXIN 10 TAB 500/125 MG,Clamoxin,Clamoxin,10 TABLETAS,TABLETAS,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-7D1D9857,440393,ACIDO ACETILSALICILICO 30 TAB 100MG,Acetilsalicilico,Acido,30 TABLETAS,TABLETAS,,Medicamento,
FC-516C2E89,440393,CLAMOXIN 12H JR 1 SUSP 400/57MG/5/50 ML,12H Jr,Clamoxin,1 SUSPENSION,SUSPENSION,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-05965071,440393,ACROXIL-C 12 CAPS 500/8 MG,Acroxil-C,Acroxil-C,12 CAPSULAS,CAPSULAS,,Medicamento,
FC-930E0B1B,440393,VANDIL 1 SUSP 250MG/5/75 ML,Vandil,Vandil,1 SUSPENSION,SUSPENSION,,Medicamento,
FC-405A75E3,440393,ACIDO URSODESOXICOLICO 50 CAP 250 MG,Ursodesoxicolico,Acido,50 CAPSULAS,CAPSULAS,,Medicamento,
FC-D06E54FE,440393,VALCLAN 10 TAB 875/125 MG,Valclan,Valclan,10 TABLETAS,TABLETAS,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-3A4583F3,440393,"PENIPOT 1 FA 400,000 UI",Penipot,Penipot,1 FRASCO AMPULA,FRASCO AMPULA,,Medicamento,
FC-F22C72BE,440393,CLAMOXIN 12H 10 TAB 875/125 MG,12H,Clamoxin,10 TABLETAS,TABLETAS,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-F48FF7EF,440393,CLAMOXIN 1 SUSP 250/62.5MG/5/60 ML,Clamoxin,Clamoxin,1 SUSPENSION,SUSPENSION,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-4BD80686,440393,BENEVENTOL 3 CAPS 400 MG,Beneventol,,3 CAPSULAS,CAPSULAS,BENEVENTOL,Medicamento,
FC-974EE5FD,440393,GIMALXINA 1 SUSP 250MG/5/75 ML,Gimalxina,,1 SUSPENSION,SUSPENSION,GIMALXINA,Medicamento,
FC-0E0A9E42,440393,CLAMOXIN S 1 SUSP 600/42.9MG/50 ML,S,Clamoxin,1 SUSPENSION,SUSPENSION,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-6519183A,440393,CLAMOXIN 1 SUSP 125/31.25MG/5/60 ML,Clamoxin,Clamoxin,1 SUSPENSION,SUSPENSION,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-DDFBABDF,440393,CLAMOXIN 12H PED 1 SUSP 200/28.5MG/40 ML,12H Ped,Clamoxin,1 SUSPENSION,SUSPENSION,AMOXICILINA/AC. CLAVULANICO,Medicamento,
FC-C9F4ACCC,440393,ACEMETACINA 14 CAPS 90 MG,Acemetacina,,14 CAPSULAS,CAPSULAS,ACEMETACINA,Medicamento,
FC-17376CAE,440393,ASPITAK-P 30 COMP 100 MG,Aspitak-P,Aspitak-P,30 COMPRIMIDOS,COMPRIMIDOS,,Medicamento,
FC-369D1689,440393,BENEVENTOL 6 CAPS 400 MG,Beneventol,,6 CAPSULAS,CAPSULAS,BENEVENTOL,Medicamento,
FC-B69FCBF4,440393,LESACLOR (MACLOV) 35 TAB 400 MG,(Maclov),Lesaclor,35 TABLETAS,TABLETAS,,Medicamento,
FC-F4E9C71F,440393,AMOXICILINA 1 SUSP 500MG/5/75 ML,Amoxicilina,,1 SUSPENSION,SUSPENSION,AMOXICILINA,Medicamento,
FC-428A228F,440393,GIMALXINA 12 CAPS 500 MG,Gimalxina,,12 CAPSULAS,CAPSULAS,GIMALXINA,Medicamento,
FC-FD845E68,440393,ACICLOVIR 35 TAB 400 MG,Aciclovir,Aciclovir,35 TABLETAS,TABLETAS,,Medicamento,
FC-B2123139,440393,OXIVAG 4 TAB 70 MG,Oxivag,Oxivag,4 TABLETAS,TABLETAS,,Medicamento,
