estado,match,sku,nombre,marca,categoria,ean,src,off_name,brands,img
"MISS","http 429","FC-070839","Alliviax Garganta C/8 tabletas","Alliviax","Analgésico","650240070839","","","",""
"MISS","http 404","FC-ACA2A2F6","Alopurinol 300 mg","beadvance","Otro","7501342804309","","","",""
"MISS","http 429","FC-75710113","Alu-Mag suspensión hidróxido de aluminio/magnesio 3.70/4.00 g","Novag","Medicamentos","7501075710113","","","",""
"MISS","http 404","EQ-COL258","Alzocid 4 Tab 20 Mg","","Medicamentos","0780083149055","","","",""
"MISS","http 404","EQ-WER025","Amantadina(Rosel) 24 Caps 50/3/300 Mg","","Medicamentos","7503003738404","","","",""
"MISS","http 404","FC-BE76D409","Amcef IM 1 g (Inyectable)","Amcef","Antibiótico","7501349012004","","","",""
"MISS","http 429","FC-07F04F88","Amcef IM 500 mg (Inyectable)","Amcef","Antibiótico","7501349011007","","","",""
"MISS","http 429","FC-9A37D44A","Amdoryl","Amdoryl","Gastro","7503003738961","","","",""
"MISS","http 404","FC-D5AC44CA","Amifarin","Amifarin","Antibiótico","7503001007113","","","",""
"MISS","http 404","FC-9F67BB73","Amifarin","Amifarin","Antibiótico","7503001007090","","","",""
"MISS","http 429","FC-1FEA2FB7","Amikacina","AMSA","Antibiótico","7501349021440","","","",""
"MISS","http 429","FC-347A49C7","Amikacina","AMSA","Antibiótico","7501349020740","","","",""
"MISS","http 429","FC-4A0245DA","Amlodipino","Amlodipino","Hipertensión","7502216804814","","","",""
"MISS","http 404","FC-3B001F9B","Amlodipino","Amlodipino","Hipertensión","7502216804661","","","",""
"MISS","http 404","FC-F4E9C71F","Amoxicilina","AMSA","Antibiótico","7501349021839","","","",""
"MISS","http 404","FC-49021570","Amoxicilina 500 mg Caja con 12 cápsulas AMSA","AMSA","Antibiótico","7501349021570","","","",""
"MISS","http 404","FC-D210172A","Ampicilina","","Antibiótico","7501349022874","","","",""
"MISS","http 429","FC-7F90064A","Ampicilina","AMSA","Antibiótico","7501349021051","","","",""
"MISS","http 404","FC-F82A6E4B","Ampicilina","AMSA","Antibiótico","7501349022881","","","",""
"MISS","http 404","FC-90973703","Ampicilina 1 g Caja con 1 frasco ámpula AMSA","AMSA","Antibiótico","5178190973703","","","",""
"MISS","http 429","FC-2001A890","Ampigrin AD (Ampicilina + Dicloxacilina)","Ampigrin","Antibiótico","780083140922","","","",""
"MISS","http 404","FC-88508929","Anara","Anara","Otro","7501088508929","","","",""
"MISS","http 404","FC-01508201","Antiflu-Des C/24","Antiflu-Des","Respiratorio","7501088509773","","","",""
"MISS","http 429","FC-85097661","Antiflu-Des Jr Antigripal","Chinoin","Respiratorio","7501088509766","","","",""
"MISS","http 404","EQ-SON175","Ardosons 20 Caps 215/25/0.75 Mg","","Medicamentos","7502001162426","","","",""
"MISS","http 429","FC-36000828","Argental (Sulfadiazina de plata) crema 1%","Liferpal MD","Medicamentos","7501836000828","","","",""
"MISS","http 404","FC-00003920","Arnica Mercurio","Mercurio","Herbolario","3311000003944","","","",""
"MISS","http 404","EQ-SER001","Asmaral-K 30 Tab 1 Mg","Serral","Medicamentos","7501258200288","","","",""
"MISS","http 429","FC-08491074","Aspirina","Aspirina","Analgésico","7501008491074","","","",""
"MISS","http 404","FC-08499818","Aspirina 500 mg","Aspirina","Analgésico","7501008499818","","","",""
"MISS","http 429","FC-8491966","Aspirina 500 mg C/40","Aspirina","Analgésico","7501008491966","","","",""
"MISS","http 429","FC-84335531","Aspirina Forte C/24 Caf Iaspirina","Aspirina","Analgésico","7501008433553","","","",""
"MISS","http 404","FC-17376CAE","Aspitak-P","Aspitak-P","Hipertensión","7502001162976","","","",""
"MISS","http 429","FC-E4BE37BE","Atorvastatina","","Cardiovascular","7851207548580","","","",""
"MISS","http 429","FC-49028913","Atorvastatina 40 mg Caja con 10 tabletas AMSA","AMSA","Cardiovascular","7501349028913","","","",""
"MISS","http 404","FC-75723830","Atroxolam (Teofilina/Ambroxol) 7.0-1.5 mg/mL jarabe","Novag","Respiratorio","7501075723830","","","",""
"MISS","http 429","EQ-MAV358","Avattor 30 Comp 20 Mg","Maver","Medicamentos","7502009746178","","","",""
"MISS","http 404","FC-D9391288","Azitromicina","Serral","Antibiótico","7501258210393","","","",""
"MISS","http 404","FC-01166578","Baby Son's pomada dexpantenol 5 g/100 g","Química Son's","Medicamentos","7502001166578","","","",""
"MISS","http 404","FC-AE5EEDF7","Bactiver","Bactiver","Antibiótico","7503000422238","","","",""
"MISS","http 429","FC-F8691496","Bactiver F (Sulfametoxazol/Trimetoprima)","Bactiver","Antibiótico","7503000422283","","","",""
"MISS","http 404","FC-00422511","Bactiver sulfametoxazol/trimetoprima susp. 120 mL","Bactiver","Antibiótico","7503000422511","","","",""
"MISS","http 404","FC-45045281","Balsamo Para Labios Labello Hidro Care","Labello","Cuidado personal","7501054504528","","","",""
"MISS","http 404","FC-54504870","Balsamo para Labios Labello Clasico","Labello","Cuidado personal","7501054504870","","","",""
"MISS","no_esta","FC-45079011","Balsamo para Labios Labello Fresa","Labello","Cuidado personal","7501054507901","","","",""
"MISS","http 404","FC-90031475","Balsamo para Labios Labello Mora","Labello","Cuidado personal","4005900314758","","","",""
"MISS","http 404","EQ-COD086","Bano Coloide 1 Pvo 96.5/2/90 G","","Medicamentos","7503028771684","","","",""
