sku,barcode,ticket,sev,costo_ticket,costo_inv,precio_actual,precio_corr,nombre
FC-22105207,7501022105207,77827,grave,6.96,20.14,32.23,10.00,Jbn Grisi Neutro 150 G
FC-46655079,7509546655079,77827,grave,7.49,19.95,31.92,11.00,Jbn Palmol N-Bal Corp Baby0% 90G
FC-34063651,75030034063651,FL-080826,grave,11.70,2.34,0.00,19.00,Tela Adhesiva Quirmex 2.5Cmxi̇m | Quirmex 5 $ 11.70 Descto: 
FC-84431050,759684431050,77827,grave,11.53,19.77,31.64,17.00,Acetona Jaloma 60 Ml
FC-08895196,7502208895196,FL-080826,grave,9.50,1.90,0.00,13.00,Ky6 Tab C/10 Bruluart 5 $ 9.50 $ 9.31 $ 47.50 Bruluart E7401
FC-68910041,7501868910041,FL-080826,grave,6.90,0.58,0.93,10.00,Algodon Dibar 5 Gr Dibar 12 $ 6.90 Descto: 2.0% $ 6.76 $ 82.
FC-34067301,75030034067301,FL-080826,grave,6.80,0.57,0.92,10.00,Venda Quirmex 7.5 Cm | Quirmex 12 $ 6.80 Descto: 2.0% $ 6.66
FC-51444145,75004351444145,FL-080826,moderado,277.00,135.73,217.17,388.00,0 Stick Tripack Des Old Spice Gr Pg Pere Descto: 2.0% Stick 
FC-70612368,7501070612368,FL-080826,moderado,152.00,76.00,0.00,198.00,(A) Treda Tab €/20 Sanfer 2 $ 152.00 $ 304.00 Descto: 8.0% S
FC-76040610,7502276040610,FL-080826,moderado,93.80,46.90,0.00,122.00,Desenfriolito Tab C/24 2 Pack Bayer Otc $ 93.80 Desenfriolit
FC-36032776,037836032776,77827,moderado,74.31,29.96,47.94,105.00,Sh Grisi Ricitos Oro Biopure 250Ml
FC-00942760,4005900942760,77827,moderado,105.35,62.25,99.60,148.00,Gel Niv Fac Ref Hidra Hyalu 200Ml
FC-08802838,4005808802838,77827,moderado,84.49,43.63,69.81,119.00,Cra Nivea B Sofmilk Sec400Ml
FC-31887928,7702031887928,77827,moderado,63.53,26.20,41.92,89.00,Enj Buc List Care Zero Mta 250Ml
FC-35231237,7500435231237,77827,moderado,73.76,36.73,58.77,104.00,Sh Hash Anti Comezon 375Ml
FC-72300171,7501072300171,77827,moderado,80.46,43.58,69.73,113.00,Ting Polvo 85G
FC-54503095,7501054503095,77827,moderado,60.75,96.63,154.61,86.00,Cra Nivea Sda Tarro 100 Ml
FC-56360429,7501056360429,77827,moderado,71.80,36.33,58.13,101.00,Tco Desod Eficc Pies 200 G
FC-01303454,7501001303454,77827,moderado,75.70,40.66,65.06,106.00,Sh Pant Ctrcaida A/Pv 400Ml
FC-35155847,7500435155847,77827,moderado,75.70,40.66,65.06,106.00,Sh Pant Bambu Ctrl Caida 400 Ml
FC-35168991,7500435168991,77827,moderado,67.00,32.34,51.75,94.00,Sh Hash Anti Comezon 375Ml
FC-31976394,7702031976394,77827,moderado,63.53,30.02,48.04,89.00,Enj Buc List Anticari-Al 250Ml
FC-56330309,7501056330309,77827,moderado,72.30,105.35,168.56,102.00,Cra Clarant B3 Nml/Gsa 100G
FC-56326142,7501056326142,77827,moderado,59.36,26.48,42.37,84.00,Cra S Ponds Humectante 100G
FC-40030338,650240030338,77827,moderado,70.92,41.84,66.95,100.00,Sh Int Lomecan V Aclar 200Ml
FC-76040436,7502276040436,77827,moderado,78.22,49.29,78.87,110.00,Deo Mexsana P/Pies Spy 150Ml
FC-40030963,650240030963,77827,moderado,62.25,34.41,55.06,88.00,Cra Teatrical Cel-Ma Nutrit 400Ml
FC-24511629,7502224511629,77827,moderado,44.76,18.17,29.08,63.00,Silica Shine Sil 3/1 Uva 120 Mi
FC-36033735,037836033735,77827,moderado,42.34,66.93,107.09,60.00,Sh Ricitos Oro Agua De Coco 250Ml
FC-46074504,7509546074504,77827,moderado,43.59,66.93,107.09,62.00,Sh Mennen Zero% Sve 400Ml
FC-75062927,75062927,77827,moderado,53.50,30.21,48.34,75.00,Desod Rexona Pom-Dry48H Stick45G
FC-88915491,75022088915491,FL-080826,moderado,58.50,80.90,0.00,77.00,Tarmin 2 Mg /12 Tab Bruluagsa Descto: 2.05 6. Tarmin 2 Mg /1
FC-09498091,7896009498091,77827,moderado,70.91,48.58,77.73,107.00,Sensodyne Protec Complet + Acc Lim Efec 90G
FC-46640629,7501046640629,77827,moderado,40.28,61.02,97.64,61.00,Protec 20Cmx2.75M 1 Pza Venda De Yeso
FC-06217461,7506306217461,77827,moderado,64.12,43.58,69.73,90.00,Ico Desod Rexona Effi Fresh 200G
