SKU,EAN,STOCK,AVAILABLE
FARMACAPITALmt_fc-01165045,7502001165045,0,false
FARMACAPITALmt_fc-ifc-don01,2008550100018,0,false
FARMACAPITALmt_fc-06248052,7506306248052,1,true
FARMACAPITALmt_fc-06230507,7506306230507,0,false
FARMACAPITALmt_fc-06248045,7506306248045,1,true
FARMACAPITALmt_fc-06241206,7506306241206,0,false
FARMACAPITALmt_eq-qum070,7502223111400,0,false
FARMACAPITALmt_fc-aa7b0686,,0,false
FARMACAPITALmt_fc-36009661,7501836009661,0,false
FARMACAPITALmt_fc-lv-ram156,7502227879610,2,true
FARMACAPITALmt_fc-db4a39ae,,0,false
FARMACAPITALmt_fc-92503558,7506192503358,0,false
FARMACAPITALmt_fc-9abfb996,7502209858251,0,false
FARMACAPITALmt_eq-avt205,7502209858237,0,false
FARMACAPITALmt_fc-25104411,7501125104411,0,false
FARMACAPITALmt_fc-25104268,7501125104268,0,false
FARMACAPITALmt_fc-25149221,7501125149221,0,false
FARMACAPITALmt_fc-51747971,7501125174797,0,false
FARMACAPITALmt_fc-25104688,7501125104688,0,false
FARMACAPITALmt_fc-51448511,7501125144851,0,false
FARMACAPITALmt_fc-08497623,7501008497623,0,false
FARMACAPITALmt_fc-53506fa4,7502216792845,3,true
FARMACAPITALmt_fc-53008221,855553008221,0,false
FARMACAPITALmt_fc-10974329,7891010974329,0,false
FARMACAPITALmt_fc-31887928,7702031887928,0,false
FARMACAPITALmt_fc-42302289,070942302289,0,false
FARMACAPITALmt_fc-31976394,7702031976394,0,false
FARMACAPITALmt_fc-33950100,7501033954061,0,false
FARMACAPITALmt_fc-33954078,7501033954078,0,false
FARMACAPITALmt_fc-33950070,7501033954085,0,false
FARMACAPITALmt_fc-79807468,3664798074680,0,false
FARMACAPITALmt_fc-11783282,7502211783282,0,false
FARMACAPITALmt_fc-da34d88d,7502211783657,0,false
FARMACAPITALmt_eq-pge052,7503027446125,0,false
FARMACAPITALmt_fc-50ac2c82,7502009740916,0,false
FARMACAPITALmt_fc-df8addab,7502009745218,0,false
FARMACAPITALmt_eq-mav295,7502009746239,0,false
FARMACAPITALmt_eq-mav187,7502009744129,0,false
FARMACAPITALmt_fc-25605514,7506425605514,0,false
FARMACAPITALmt_fc-25652716,7506425652716,0,false
FARMACAPITALmt_fc-43489165,7501943489165,0,false
FARMACAPITALmt_fc-43489004,7501943489004,0,false
FARMACAPITALmt_fc-02045312,7503002045312,1,true
FARMACAPITALmt_eq-mav380,7502009748912,0,false
